universityid,city,state,level,institution_type,specific_college_type,website
104717,Phoenix,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.gcu.edu
104805,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.anthem.edu
105118,Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,www.kaplancollege.comphoenix-az
105145,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.gatewaycc.edu
105154,Mesa,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.mesacc.edu
105163,Tucson,Arizona,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
105172,Tempe,Arizona,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
105206,Kingman,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,www.mohave.edu
105297,Tsaile,Arizona,4-year,Public,Tribal Colleges,www.dinecollege.edu
105330,Flagstaff,Arizona,4-year,Public,Research Universities--high research activity,nau.edu
105349,Holbrook,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.npc.edu
105428,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.phoenixcollege.edu
105516,Tempe,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.phoenix.edu
105525,Tucson,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.pima.edu
105534,Tucson,Arizona,4-year,Private for-profit,Associates--Private For-profit,pmi.edu
105543,Albuquerque,New Mexico,2-year,Private for-profit,Associates--Private For-profit,pmi.edu
105589,Prescott,Arizona,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.prescott.edu
105659,Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,refrigerationschool.com
105668,Tempe,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.rio.maricopa.edu
105747,Scottsdale,Arizona,2-year,Public,Associates--Public Urban-serving Single Campus,www.scottsdalecc.edu
105792,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.southmountaincc.edu
105899,Phoenix,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.arizonachristian.edu
106041,Avondale,Arizona,2-year,Private for-profit,Associates--Private For-profit,www.uti.edu
106102,Tempe,Arizona,4-year,Private for-profit,Masters Colleges and Universities--medium programs,www.west.edu
106148,Prescott,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.yc.edu
106245,Little Rock,Arkansas,4-year,Public,Doctoral/Research Universities,ualr.eduwww
106306,Little Rock,Arkansas,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.arkansasbaptist.edu
106342,Batesville,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.lyon.edu
106397,Fayetteville,Arkansas,4-year,Public,Research Universities--very high research activity,www.uark.edu
106412,Pine Bluff,Arkansas,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.uapb.edu
106449,Beebe,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.asub.edu
106458,Jonesboro,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,www2.astate.edu
106467,Russellville,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,www.atu.edu
106485,Monticello,Arkansas,4-year,Public,Masters Colleges and Universities--smaller programs,www.uamont.edu
106625,Pocahontas,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,www.blackrivertech.edu
106704,Conway,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,www.uca.edu
106713,Conway,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.cbc.edu
106795,De Queen,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.cccua.edu
106810,Paragould,Arkansas,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates,www.crc.edu
106883,Forrest City,Arkansas,2-year,Public,Associates--Public Rural-serving Small,www.eacc.edu
106980,Hot Springs,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,www.npcc.edu
106999,Batesville,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.uaccb.edu
107044,Searcy,Arkansas,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.harding.edu
107071,Arkadelphia,Arkansas,4-year,Public,Masters Colleges and Universities--medium programs,www.hsu.edu
107080,Conway,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.hendrix.edu
107141,Siloam Springs,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.jbu.edu
107318,West Memphis,Arkansas,2-year,Public,Associates--Public Suburban-serving Single Campus,www.midsouthcc.edu
107327,Blytheville,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,www.anc.edu
107460,Harrison,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,www.northark.edu
107512,Arkadelphia,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.obu.edu
107521,Malvern,Arkansas,2-year,Public,Associates--Public Rural-serving Small,www.coto.edu
107549,Melbourne,Arkansas,2-year,Public,Associates--Public Rural-serving Small,www.ozarka.edu
107558,Clarksville,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ozarks.edu
107585,Morrilton,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.uaccm.edu
107600,Little Rock,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.philander.edu
107619,Helena,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.pccua.edu
107637,Pine Bluff,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,www.seark.edu
107664,North Little Rock,Arkansas,2-year,Public,Associates--Public Urban-serving Single Campus,www.pulaskitech.edu
107725,Hope,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.uacch.edu
107743,Mena,Arkansas,2-year,Public,Associates--Public Rural-serving Small,www.rmcc.edu
107877,Walnut Ridge,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.wbcoll.edu
107974,El Dorado,Arkansas,2-year,Public,Associates--Public Rural-serving Small,www.southark.edu
107983,Magnolia,Arkansas,4-year,Public,Masters Colleges and Universities--medium programs,www.saumag.edu
107992,Camden,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.sautech.edu
108092,Fort Smith,Arkansas,4-year,Public,Baccalaureate/Associates Colleges,uafs.edu
108232,San Francisco,California,4-year,Private for-profit,Schools of art- music- and design,www.academyart.edu
108250,Rancho Cordova,California,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
108667,Alameda,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.peralta.edu
108807,Santa Maria,California,2-year,Public,Associates--Public Rural-serving Large,www.hancockcollege.edu
108852,Los Angeles,California,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.aada.edu
109040,Los Angeles,California,2-year,Private for-profit,Associates--Private For-profit,americancareercollege.edu
109208,Sacramento,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.arc.losrios.edu
109350,Lancaster,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.avc.edu
109651,Pasadena,California,4-year,Private not-for-profit,Schools of art- music- and design,www.artcenter.edu
109785,Azusa,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.apu.edu
109819,Bakersfield,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.bakersfieldcollege.edu
109907,Barstow,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.barstow.edu
110060,Anaheim,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.buc.edu
110097,La Mirada,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.biola.edu
110185,Santa Barbara,California,4-year,Private for-profit,Schools of art- music- and design,www.brooks.edu
110219,Los Angeles,California,4-year,Private for-profit,Associates--Private For-profit,www.bryancollege.edu
110246,Oroville,California,2-year,Public,Associates--Public Rural-serving Large,www.butte.edu
110334,Aptos,California,2-year,Public,Associates--Public Rural-serving Large,www.cabrillo.edu
110361,Riverside,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.calbaptist.edu
110370,San Francisco,California,4-year,Private not-for-profit,Schools of art- music- and design,www.cca.edu
110404,Pasadena,California,4-year,Private not-for-profit,Research Universities--very high research activity,www.caltech.edu
110413,Thousand Oaks,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.callutheran.edu
110422,San Luis Obispo,California,4-year,Public,Masters Colleges and Universities--larger programs,calpoly.edu
110468,San Diego,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.alliant.edu
110486,Bakersfield,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csub.edu
110495,Turlock,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csustan.edu
110510,San Bernardino,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csusb.edu
110529,Pomona,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csupomona.edu
110538,Chico,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csuchico.edu
110547,Carson,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csudh.edu
110556,Fresno,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csufresno.edu
110565,Fullerton,California,4-year,Public,Masters Colleges and Universities--larger programs,www.fullerton.edu
110574,Hayward,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csueastbay.edu
110583,Long Beach,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csulb.edu
110592,Los Angeles,California,4-year,Public,Masters Colleges and Universities--larger programs,www.calstatela.edu
110608,Northridge,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csun.edu
110617,Sacramento,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csus.edu
110635,Berkeley,California,4-year,Public,Research Universities--very high research activity,www.berkeley.edu
110644,Davis,California,4-year,Public,Research Universities--very high research activity,www.ucdavis.edu
110653,Irvine,California,4-year,Public,Research Universities--very high research activity,www.uci.edu
110662,Los Angeles,California,4-year,Public,Research Universities--very high research activity,www.ucla.edu
110671,Riverside,California,4-year,Public,Research Universities--very high research activity,www.ucr.edu
110680,La Jolla,California,4-year,Public,Research Universities--very high research activity,www.ucsd.edu
110705,Santa Barbara,California,4-year,Public,Research Universities--very high research activity,www.ucsb.edu
110714,Santa Cruz,California,4-year,Public,Research Universities--very high research activity,www.ucsc.edu
110945,San Diego,California,4-year,Private not-for-profit,Other health professions schools,www.cc-sd.edu
111009,San Francisco,California,2-year,Private for-profit,Associates--Private For-profit,www.caculinary.edu
111081,Valencia,California,4-year,Private not-for-profit,Schools of art- music- and design,www.calarts.edu
111188,Vallejo,California,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.csum.edu
111434,Redwood City,California,2-year,Public,Associates--Public Suburban-serving Multicampus,canadacollege.edu
111461,Santa Clarita,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.canyons.edu
111638,Van Nuys,California,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.casalomacollege.edu
111887,Norwalk,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.cerritos.edu
111896,Ridgecrest,California,2-year,Public,Associates--Public Urban-serving Multicampus,cerrocoso.edu
111920,Hayward,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.chabotcollege.edu
111939,Rancho Cucamonga,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.chaffey.edu
111948,Orange,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.chapman.edu
111966,Los Angeles,California,4-year,Private not-for-profit,Other health professions schools,www.cdrewu.edu
112075,Irvine,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.cui.edu
112084,El Cajon,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.sdcc.edu
112172,Glendora,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.citruscollege.edu
112190,San Francisco,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.ccsf.edu
112260,Claremont,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.claremontmckenna.edu
112385,Fountain Valley,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.coastline.edu
112394,Sunnyvale,California,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.cogswell.edu
112446,San Diego,California,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.coleman.edu
112561,Sonora,California,2-year,Public,Associates--Public Rural-serving Medium,www.gocolumbia.edu
112570,Tarzana,California,4-year,Private not-for-profit,Schools of art- music- and design,www.columbiacollege.edu
112686,Compton,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.compton.edu
112826,San Pablo,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.contracosta.edu
113096,Sacramento,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.crc.losrios.edu
113111,Yucaipa,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.craftonhills.edu
113193,San Luis Obispo,California,2-year,Public,Associates--Public Rural-serving Large,www.cuesta.edu
113218,El Cajon,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.cuyamaca.edu
113236,Cypress,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.cypresscollege.edu
113333,Cupertino,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.deanza.edu
113573,Palm Desert,California,2-year,Public,Associates--Public Suburban-serving Multicampus,collegeofthedesert.edu
113582,San Diego,California,4-year,Private for-profit,Schools of art- music- and design,www.disd.edu
113634,Pleasant Hill,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.dvc.edu
113698,San Rafael,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.dominican.edu
113856,Monterey Park,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.elac.eduindex.htm
113980,Torrance,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.elcamino.edu
114123,Santa Rosa,California,2-year,Private for-profit,Associates--Private For-profit,www.empcol.edu
114266,San Jose,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.evc.edu
114354,Los Angeles,California,4-year,Private for-profit,Schools of art- music- and design,www.fidm.edu
114390,San Francisco,California,4-year,Private for-profit,Associates--Private For-profit,www.fidm.edu
114415,Irvine,California,2-year,Private for-profit,Associates--Private For-profit,fidm.edu
114433,Quincy,California,2-year,Public,Associates--Public Rural-serving Medium,www.frc.edu
114716,Los Altos Hills,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.foothill.edu
114789,Fresno,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.fresnocitycollege.edu
114813,Fresno,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.fresno.edu
114859,Fullerton,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.fullcoll.edu
114938,Gilroy,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.gavilan.edu
115001,Glendale,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.glendale.edu
115126,Huntington Beach,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.goldenwestcollege.edu
115296,El Cajon,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.grossmont.edu
115393,Salinas,California,2-year,Public,Associates--Public Rural-serving Large,www.hartnell.edu
115409,Claremont,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.hmc.edu
115454,Rancho Cordova,California,2-year,Private for-profit,Associates--Private For-profit,www.heald.edu
115472,Fresno,California,2-year,Private for-profit,Associates--Private For-profit,www.heald.edu
115490,Milpitas,California,2-year,Private for-profit,Associates--Private For-profit,www.heald.edu
115515,San Francisco,California,2-year,Private for-profit,Associates--Private For-profit,www.heald.edu
115533,Concord,California,2-year,Private for-profit,Associates--Private For-profit,www.heald.edu
115728,Oakland,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.hnu.edu
115755,Arcata,California,4-year,Public,Masters Colleges and Universities--medium programs,www.humboldt.edu
115773,Stockton,California,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.humphreys.edu
115861,Imperial,California,2-year,Public,Associates--Public Rural-serving Large,www.imperial.edu
116439,Irvine,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.ivc.edu
116466,National City,California,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
116475,San Dimas,California,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
116484,Orange,California,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
116846,Los Angeles,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.aju.edu
117052,Reedley,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.reedleycollege.edu
117104,San Dimas,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.lifepacific.edu
117113,San Diego,California,4-year,Private for-profit,Schools of art- music- and design,www.artinstitutes.edusan-diego
117140,La Verne,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.laverne.edu
117168,Laguna Beach,California,4-year,Private not-for-profit,Schools of art- music- and design,www.lcad.edu
117195,South Lake Tahoe,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.ltcc.edu
117247,Oakland,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.laney.eduwp
117274,Susanville,California,2-year,Public,Associates--Public Rural-serving Medium,www.lassencollege.edu
117557,Oakland,California,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.lincolnuca.edu
117627,Riverside,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.lasierra.edu
117645,Long Beach,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lbcc.edu
117690,Wilmington,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lahc.edu
117706,Woodland Hills,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.piercecollege.edu
117715,Los Angeles,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lasc.edu
117724,Los Angeles,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lattc.edu
117733,Valley Glen,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lavc.edu
117751,Santa Clarita,California,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.masters.edu
117788,Los Angeles,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lacitycollege.edu
117867,Sylmar,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.lamission.edu
117894,Pittsburg,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.losmedanos.edu
117928,San Francisco,California,4-year,Private for-profit,Schools of art- music- and design,www.artinstitutes.edusan-francisco
117946,Los Angeles,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.lmu.edu
118198,Sacramento,California,2-year,Private for-profit,Associates--Private For-profit,sacramento.mticollege.edu
118259,Sacramento,California,2-year,Private for-profit,Associates--Private For-profit,www.kaplancollege.comsacramento-ca
118277,San Diego,California,2-year,Private for-profit,Associates--Private For-profit,www.kaplancollege.comsan-diego-ca
118286,Vista,California,2-year,Private for-profit,Associates--Private For-profit,www.kaplancollege.comvista-ca
118347,Kentfield,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.marin.edu
118541,Rancho Palos Verdes,California,4-year,Private not-for-profit,Associates--Private Not-for-profit,www.marymountcalifornia.edu
118684,Ukiah,California,2-year,Public,Associates--Public Rural-serving Large,www.mendocino.edu
118693,Atherton,California,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.menlo.edu
118718,Merced,California,2-year,Public,Associates--Public Rural-serving Large,www.mccd.edu
118772,Oakland,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.merritt.edu
118888,Oakland,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.mills.edu
118912,Oceanside,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.miracosta.edu
118930,Santa Clara,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.missioncollege.edu
118976,Modesto,California,2-year,Public,Associates--Public Rural-serving Large,mjc.edu
119067,Monterey,California,2-year,Public,Associates--Public Rural-serving Large,www.mpc.edu
