university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
131469,District of Columbia,10357,25.6,22.6,10304
131496,District of Columbia,7636,25,22.6,7346
131520,District of Columbia,6974,17.7,22.6,6446
131742,Virginia,1373,1.9,28.4,2900
131803,District of Columbia,883,17.2,16.5,818
131876,District of Columbia,1853,16,22.6,1492
132338,Florida,1924,27.6,18.1,1933
132408,Florida,507,25.2,24.2,428
132471,Florida,4341,26.9,24.2,4212
132602,Florida,3724,14.7,24.2,3675
132657,Florida,1785,24.2,24.2,1704
132693,Florida,16711,25.1,23.9,12053
132709,Florida,43883,20.7,23.9,30322
132806,Florida,59,40.2,34.7,332
132842,Florida,294,33,24.2,314
132851,Florida,8162,21.6,23.9,6103
132879,Florida,302,15.3,24.2,370
132903,Florida,51333,26.4,23.9,45565
133021,Florida,2160,28.4,23.9,1609
133085,Florida,495,18.2,24.2,498
133386,Florida,14865,27.7,23.9,11389
133465,Florida,973,21.2,18.1,833
133492,Florida,2173,21.3,24.2,2437
133508,Florida,15423,22.6,23.9,10649
133526,Florida,862,11.8,24.2,897
133553,Florida,4679,19.7,24.2,4520
133650,Florida,8930,14.1,23.9,9654
133669,Florida,25790,25.4,23.9,20736
133702,Florida,28134,26.6,23.9,21810
133711,Florida,2839,22.8,24.2,2644
133809,Florida,558,33.7,24.2,502
133845,Florida,630,24.2,34.7,671
133854,Florida,508,13.8,34.7,600
133863,Florida,454,14.1,34.7,675
133872,Florida,2160,38.2,24.2,1665
133881,Florida,3257,15.9,24.2,3039
133951,Florida,39142,22.2,23.9,34130
133960,Florida,1139,21.8,21.5,833
133979,Florida,1517,12.5,24.2,1543
133997,Florida,5818,27.8,18.1,10133
134079,Florida,2416,20.6,24.2,2285
134097,Florida,32528,27.8,23.9,31611
134112,Florida,4330,25.9,18.1,4907
134121,Florida,99,36.1,18.1,111
134130,Florida,33168,27.6,23.9,32139
134149,Florida,1746,30.7,18.1,2036
134237,Florida,18880,8.7,18.1,28213
134343,Florida,6271,21.1,23.9,4474
134495,Florida,26590,18.6,21.5,19838
134510,Florida,200,31.7,24.2,128
134608,Florida,17248,25.8,23.9,12211
134680,Florida,474,27.6,18.1,752
134811,Florida,3167,18.6,18.1,3502
134909,Florida,463,38.7,18.1,540
134945,Florida,3425,30,24.2,2873
135063,Florida,449,26.2,24.2,345
135081,Florida,16039,23.8,24.2,17507
135124,Florida,614,45.2,34.7,801
135160,Florida,3057,23.8,23.9,2179
135188,Florida,4288,22.2,23.9,2983
135364,Georgia,511,18.8,21.7,351
135391,Florida,10533,20.2,23.9,8012
135717,Florida,66298,21,23.9,53787
135726,Florida,11380,22.8,24.2,10871
135939,Florida,189,19.5,24.2,320
135957,Florida,768,51.5,34.7,829
136066,Florida,738,51.3,18.1,874
136145,Florida,1179,24.5,21.5,903
136172,Florida,14263,27.2,23.9,12712
136206,Florida,612,36,24.2,563
136215,Florida,5156,27.3,24.2,4822
136233,Florida,6708,27.7,23.9,5197
136288,Florida,714,37.2,18.1,1054
136330,Florida,2887,19.7,24.2,2420
136358,Florida,29763,23.1,23.9,19938
136400,Florida,10206,23.3,21.5,7030
136473,Florida,11235,23,23.9,8740
136516,Florida,11085,20.2,23.9,7935
136774,Florida,1253,22.2,24.2,1273
136950,Florida,2608,21.4,24.2,2674
137032,Florida,12640,29.9,24.2,11999
137078,Florida,31820,22.4,23.9,21467
137096,Florida,15113,24.3,23.9,11819
137148,Florida,131,9,18.1,94
137209,Florida,18427,19.3,23.9,15021
137281,Florida,6127,18.1,23.9,4698
137315,Florida,2699,25.5,23.9,1902
137351,Florida,31100,26.3,23.9,28730
137476,Florida,1035,15.9,24.2,1588
137546,Florida,2729,20.2,24.2,2661
137564,Florida,3083,20.6,24.2,2201
137759,Florida,13509,25.1,21.5,10904
137801,Florida,738,40.7,18.1,1108
137810,Florida,468,44.4,18.1,621
137847,Florida,6499,20.5,24.2,6494
137953,Florida,301,20,24.2,229
137962,Florida,224,17.8,24.2,167
138187,Florida,42180,24.3,23.9,30467
138275,Florida,1043,27.2,24.2,959
138293,Florida,667,18.2,24.2,644
138309,Florida,5640,17.9,18.1,5736
138354,Florida,10158,24.9,23.9,8810
138558,Georgia,3394,19.8,18.4,2564
138600,Georgia,915,19.7,21.7,892
138655,Georgia,383,41.2,32.6,307
138682,Georgia,3894,27.4,17.2,3707
138691,Georgia,6195,15.5,17.2,5000
138716,Georgia,3660,14.7,18.4,3331
138761,Georgia,316,13,34,283
138789,Georgia,6377,17.7,18.4,5831
138813,Georgia,3078,15.5,18,3140
138840,Georgia,4859,19.7,17.2,4217
138868,Georgia,1439,26.9,21.7,1376
138901,Georgia,3016,12.3,18.4,2437
138947,Georgia,2629,17.6,21.7,2631
138956,Georgia,4379,22.1,17.2,3494
139010,Georgia,2695,12,17.2,2308
139074,Georgia,751,18.8,18,1180
139144,Georgia,2141,19,21.7,2025
139153,Georgia,554,24.1,21.7,388
139199,Georgia,1700,26.5,21.7,1428
139205,Georgia,693,19.1,21.7,513
139214,Georgia,233,12.6,32.6,186
139250,Georgia,2987,14.5,18.4,2447
139278,Georgia,6915,13.5,17.2,4768
139287,Georgia,103,15.7,21.7,79
139311,Georgia,6893,20.4,18.4,5585
139357,Georgia,3739,16.8,17.2,3241
139366,Georgia,7013,16.9,18.4,6037
139384,Georgia,6051,23.1,17.2,4629
139393,Georgia,1104,22.1,21.7,1069
139463,Georgia,5015,16.1,18.4,3846
139579,Georgia,777,18.6,18,760
139621,Georgia,2857,6.2,18.4,2345
139630,Georgia,806,18.6,21.7,748
139658,Georgia,7836,25.2,21.7,8696
139700,Georgia,5492,13,17.2,4071
139719,Georgia,2858,11.3,18.4,2981
139755,Georgia,14558,20.7,18.4,15126
139764,Georgia,2667,20.5,18.4,2459
139861,Georgia,5729,20.8,18.4,5540
139904,Georgia,1651,18.5,17.2,1650
139931,Georgia,17904,16.5,18.4,17010
139940,Georgia,24868,20.1,18.4,21951
139959,Georgia,26278,27.3,18.4,25050
139968,Georgia,4187,15,18.4,3336
139986,Georgia,5177,17.3,17.2,4168
139995,Georgia,174,64.1,34,165
140003,Georgia,368,32.7,32.6,404
140012,Georgia,7180,20,17.2,5138
140164,Georgia,22621,17.4,18.4,19728
140234,Georgia,856,21,21.7,853
140243,Georgia,3579,26.5,17.2,2435
140252,Georgia,765,9.4,21.7,849
140331,Georgia,10470,11.7,17.2,8173
140340,Georgia,393,24.3,18,526
140447,Georgia,4419,24.3,21.7,4075
140553,Georgia,2170,16.7,21.7,2379
140599,Georgia,2058,24.8,17.2,1493
140678,Georgia,2441,21.9,17.2,1976
140696,Georgia,1091,18.9,21.7,1027
140720,Georgia,924,11.3,21.7,828
140818,Georgia,1281,22.4,21.7,1255
140872,Georgia,1217,20.4,21.7,1196
140942,Georgia,4784,13.8,17.2,3677
140951,Georgia,8825,21.8,21.7,8146
140960,Georgia,4602,9.8,18.4,4045
140988,Georgia,1544,15.2,21.7,1488
141006,Georgia,1828,26.3,17.2,1565
141060,Georgia,2129,19.2,21.7,2383
141097,Georgia,5732,16.5,18.4,4742
141158,Georgia,1546,25.9,17.2,1195
141167,Georgia,886,23.7,21.7,780
141185,Georgia,870,20,21.7,804
141237,Georgia,1606,8.8,21.7,886
141255,Georgia,3966,20,17.2,3246
141264,Georgia,9718,17.4,18.4,9382
141325,Georgia,651,18.1,21.7,516
141334,Georgia,9959,16.8,18.4,9112
141361,Georgia,1117,16.3,21.7,1038
141468,Hawaii,1678,28.2,28.2,1815
141486,Hawaii,2036,27.2,21.6,1565
141565,Hawaii,3457,21.5,22.7,3036
141574,Hawaii,14499,22.8,22.7,13697
141644,Hawaii,5582,21.8,21.6,4633
141680,Hawaii,4368,21.7,18.7,2538
141796,Hawaii,8376,19.4,18.7,5069
141802,Hawaii,1530,26,18.7,815
141811,Hawaii,7976,15.8,18.7,4589
141839,Hawaii,4076,21.3,22.7,2492
141981,Hawaii,2361,28.8,22.7,1303
141990,Hawaii,2799,12.7,18.7,1481
142054,Idaho,552,55.5,55.5,527
142090,Idaho,186,19.1,18,182
142115,Idaho,19026,18.7,19,14986
142179,Idaho,725,38.3,16.3,531
142276,Idaho,11418,18.3,19,8853
142285,Idaho,9540,19.3,19,9214
142294,Idaho,1095,19.6,18,1026
142328,Idaho,4304,21.2,19,3199
142337,Idaho,251,41,30.3,298
142443,Idaho,6029,18.5,16.3,4684
142461,Idaho,1488,18.7,18,1711
142522,Idaho,27692,17.9,18,30522
142559,Idaho,8330,18.8,16.3,5051
142887,Illinois,406,14.8,28.6,384
143048,Illinois,2714,21.1,24.2,2498
143084,Illinois,2524,21.3,24.2,2555
143118,Illinois,3246,23.4,24.2,3013
143215,Illinois,11332,16.5,14.6,9085
143279,Illinois,6574,12.4,14.6,5086
143288,Illinois,543,18.8,24.2,541
143358,Illinois,4825,23.6,24.2,4726
143613,Illinois,2328,21.8,14.6,1784
144005,Illinois,4340,19.4,24.3,3602
144050,Illinois,5703,24.5,24.2,5619
144157,Illinois,5860,11.3,14.6,5044
144166,Illinois,6842,8,14.6,5494
144175,Illinois,5298,8.1,14.6,4110
144184,Illinois,11800,6.6,14.6,9050
144193,Illinois,9384,6.8,14.6,7497
