universityid,level,institution_type,specific_college_type
262457,2-year,Private for-profit,Associates--Private For-profit
262509,2-year,Private for-profit,Associates--Private For-profit
363387,2-year,Private for-profit,Associates--Private For-profit
363439,4-year,Private for-profit,Associates--Private For-profit
363633,2-year,Public,Associates--Public Rural-serving Medium
363934,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
364016,2-year,Public,Associates--Public Urban-serving Multicampus
364025,2-year,Public,Associates--Public Urban-serving Multicampus
364168,4-year,Private for-profit,Associates--Private For-profit
364955,2-year,Private for-profit,Associates--Private For-profit
364973,2-year,Private for-profit,Associates--Private For-profit
365055,2-year,Private for-profit,Associates--Private For-profit
365204,2-year,Private for-profit,Associates--Private For-profit
366003,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
366252,4-year,Public,Baccalaureate/Associates Colleges
366261,2-year,Private not-for-profit,Associates--Private Not-for-profit
366270,2-year,Private for-profit,Associates--Private For-profit
366340,2-year,Public,Tribal Colleges
366395,2-year,Public,Associates--Public Suburban-serving Multicampus
366401,2-year,Public,Associates--Public Suburban-serving Multicampus
366447,2-year,Public,Associates--Public Rural-serving Small
366465,2-year,Public,Associates--Public Rural-serving Medium
366535,2-year,Private not-for-profit,Associates--Private For-profit 4-year Primarily Associates
366544,2-year,Private for-profit,Associates--Private For-profit
366553,4-year,Private for-profit,Baccalaureate/Associates Colleges
366580,4-year,Private for-profit,Other technology-related schools
366650,4-year,Private for-profit,Other technology-related schools
366678,4-year,Private for-profit,Associates--Private For-profit
366696,4-year,Private for-profit,Associates--Private For-profit
366711,4-year,Public,Masters Colleges and Universities--medium programs
366748,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
366960,2-year,Private for-profit,Associates--Private For-profit
367024,4-year,Private for-profit,Baccalaureate/Associates Colleges
367097,2-year,Private for-profit,Associates--Private For-profit
367112,2-year,Private for-profit,Associates--Private For-profit
367194,4-year,Private for-profit,Schools of art- music- and design
367316,2-year,Private for-profit,Associates--Private For-profit
367459,2-year,Public,Associates--Public Rural-serving Large
367839,4-year,Private not-for-profit,Schools of business and management
367884,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
367909,4-year,Private for-profit,Baccalaureate/Associates Colleges
367936,4-year,Private for-profit,Doctoral/Research Universities
368443,4-year,Private for-profit,Associates--Private For-profit
368452,4-year,Private for-profit,Schools of art- music- and design
368601,4-year,Private for-profit,Baccalaureate/Associates Colleges
368629,2-year,Private for-profit,Associates--Private For-profit
368780,2-year,Private not-for-profit,Associates--Private Not-for-profit
368805,2-year,Private for-profit,Associates--Private For-profit
368911,2-year,Public,Associates--Public Rural-serving Small
369084,4-year,Private for-profit,Other technology-related schools
369516,4-year,Private for-profit,Associates--Private For-profit
369862,2-year,Private for-profit,Associates--Private For-profit
369905,4-year,Private for-profit,Baccalaureate/Associates Colleges
371052,2-year,Private for-profit,Associates--Private For-profit
371760,2-year,Private for-profit,Associates--Private For-profit
371779,2-year,Private for-profit,Associates--Private For-profit
371982,2-year,Private for-profit,Not applicable- not in Carnegie universe
372037,2-year,Private for-profit,Associates--Private For-profit
372073,4-year,Private for-profit,Associates--Private For-profit
372213,4-year,Private for-profit,Doctoral/Research Universities
372222,4-year,Private for-profit,Masters Colleges and Universities--larger programs
372329,2-year,Private for-profit,Associates--Private For-profit
372578,4-year,Private for-profit,Other technology-related schools
372772,2-year,Private for-profit,Associates--Private For-profit
372921,2-year,Private for-profit,Associates--Private For-profit
372958,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
373058,2-year,Private for-profit,Associates--Private For-profit
373085,2-year,Private for-profit,Associates--Private For-profit
373827,4-year,Private not-for-profit,Other special-focus institutions
374875,2-year,Private for-profit,Associates--Private For-profit
374972,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
375230,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
375416,2-year,Private not-for-profit,Associates--Private For-profit
375489,4-year,Private for-profit,Associates--Private For-profit
375841,2-year,Private for-profit,Associates--Private For-profit
375939,2-year,Private for-profit,Not applicable- not in Carnegie universe
377069,4-year,Private for-profit,Associates--Private For-profit
377111,2-year,Private not-for-profit,Associates--Private For-profit
377342,2-year,Private for-profit,Associates--Private For-profit
377449,2-year,Private for-profit,Associates--Private For-profit
377458,2-year,Private for-profit,Associates--Private For-profit
377546,4-year,Private for-profit,Schools of art- music- and design
377555,4-year,Public,Masters Colleges and Universities--medium programs
377564,4-year,Public,Masters Colleges and Universities--medium programs
378406,4-year,Private for-profit,Other technology-related schools
378576,4-year,Private for-profit,Other health professions schools
379029,2-year,Private for-profit,Associates--Private For-profit
379782,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
380094,2-year,Private not-for-profit,Associates--Private For-profit
380359,2-year,Public,Tribal Colleges
380368,2-year,Public,Tribal Colleges
380377,4-year,Public,Tribal Colleges
380438,2-year,Private for-profit,Associates--Private For-profit
380465,4-year,Private for-profit,Masters Colleges and Universities--larger programs
381617,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
381732,2-year,Private for-profit,Associates--Private For-profit
381787,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
381909,4-year,Private for-profit,Baccalaureate/Associates Colleges
382504,2-year,Private for-profit,Associates--Private For-profit
382771,2-year,Private for-profit,Associates--Private For-profit
382896,2-year,Private for-profit,Associates--Private For-profit
382911,2-year,Public,Associates--Public Rural-serving Small
382957,2-year,Private for-profit,Associates--Private For-profit
383190,2-year,Public,Associates--Public 2-year colleges under 4-year universities
383950,2-year,Private for-profit,Associates--Private For-profit
383996,2-year,Public,Associates--Public 2-year colleges under 4-year universities
384209,2-year,Private for-profit,Associates--Private For-profit
384254,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
384333,2-year,Public,Associates--Public Urban-serving Multicampus
384342,2-year,Public,Associates--Public Rural-serving Large
384412,4-year,Private for-profit,Schools of business and management
385008,2-year,Private for-profit,Not applicable- not in Carnegie universe
385503,2-year,Private for-profit,Associates--Private For-profit
385619,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
386472,4-year,Private for-profit,Baccalaureate/Associates Colleges
387925,2-year,Private for-profit,Associates--Private For-profit
388043,2-year,Private for-profit,Associates--Private For-profit
388520,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
389727,2-year,Private for-profit,Associates--Private For-profit
390701,4-year,Private for-profit,Baccalaureate/Associates Colleges
392257,2-year,Private for-profit,Associates--Private For-profit
392840,4-year,Private not-for-profit,Schools of art- music- and design
395362,2-year,Public,Associates--Public Suburban-serving Single Campus
398130,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
398574,2-year,Private for-profit,Associates--Private For-profit
399212,2-year,Public,Associates--Public Suburban-serving Multicampus
399869,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
399911,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
401223,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
402776,4-year,Private for-profit,Schools of art- music- and design
403469,2-year,Public,Associates--Public Rural-serving Large
403478,2-year,Public,Associates--Public Rural-serving Medium
403487,2-year,Public,Associates--Public Rural-serving Large
404055,2-year,Private for-profit,Associates--Private For-profit
404073,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
404082,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
404338,4-year,Private for-profit,Schools of business and management
404365,2-year,Private for-profit,Associates--Private For-profit
404374,2-year,Private for-profit,Associates--Private For-profit
404383,2-year,Private for-profit,Associates--Private For-profit
404426,2-year,Public,Associates--Public Rural-serving Medium
404499,2-year,Private for-profit,Associates--Private For-profit
404505,2-year,Private for-profit,Associates--Private For-profit
404514,2-year,Private for-profit,Associates--Private For-profit
404648,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
404912,2-year,Private for-profit,Associates--Private For-profit
404921,2-year,Private for-profit,Associates--Private For-profit
404994,2-year,Private for-profit,Associates--Private For-profit
405058,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
405854,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
405872,2-year,Public,Associates--Public Suburban-serving Single Campus
405979,4-year,Private for-profit,Masters Colleges and Universities--larger programs
405988,4-year,Private for-profit,Masters Colleges and Universities--larger programs
405997,4-year,Private for-profit,Masters Colleges and Universities--larger programs
406006,4-year,Private for-profit,Masters Colleges and Universities--larger programs
406015,4-year,Private for-profit,Masters Colleges and Universities--larger programs
406024,2-year,Private for-profit,Associates--Private For-profit
406033,2-year,Private for-profit,Associates--Private For-profit
406194,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
406200,4-year,Private not-for-profit,Associates--Private Not-for-profit
406219,4-year,Private for-profit,Associates--Private For-profit
406547,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
407063,4-year,Private for-profit,Other technology-related schools
407285,4-year,Private for-profit,Baccalaureate/Associates Colleges
407319,4-year,Private for-profit,Other technology-related schools
407328,2-year,Private for-profit,Associates--Private For-profit
408039,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
408394,2-year,Public,Associates--Public Rural-serving Small
408844,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
409069,4-year,Private for-profit,Other technology-related schools
409315,4-year,Public,Associates--Public 4-year Primarily Associates
409670,2-year,Private for-profit,Associates--Private For-profit
409698,4-year,Public,Masters Colleges and Universities--smaller programs
409874,2-year,Private for-profit,Associates--Private For-profit
410070,2-year,Private for-profit,Associates--Private For-profit
410283,2-year,Private for-profit,Associates--Private For-profit
410496,2-year,Private for-profit,Associates--Private For-profit
410502,4-year,Private for-profit,Schools of art- music- and design
410520,2-year,Private for-profit,Associates--Private For-profit
410539,2-year,Private for-profit,Associates--Private For-profit
412599,4-year,Private not-for-profit,Associates--Private For-profit 4-year Primarily Associates
413413,4-year,Private for-profit,Doctoral/Research Universities
413617,4-year,Private not-for-profit,Tribal Colleges
413626,2-year,Public,Tribal Colleges
413839,4-year,Private for-profit,Other technology-related schools
413848,4-year,Private for-profit,Baccalaureate/Associates Colleges
413857,4-year,Private for-profit,Other technology-related schools
413866,4-year,Private for-profit,Other technology-related schools
413884,4-year,Private for-profit,Other technology-related schools
414160,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
414531,4-year,Private for-profit,Other technology-related schools
414568,4-year,Private for-profit,Other technology-related schools
414586,4-year,Private for-profit,Other technology-related schools
414595,4-year,Private for-profit,Other health professions schools
414708,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
414823,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
414841,2-year,Private for-profit,Associates--Private For-profit
414878,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
414911,2-year,Public,Associates--Public Rural-serving Medium
416962,4-year,Private for-profit,Masters Colleges and Universities--larger programs
417318,4-year,Private for-profit,Associates--Private For-profit
417327,2-year,Private not-for-profit,Associates--Private Not-for-profit
417734,2-year,Private not-for-profit,Associates--Private Not-for-profit
418126,4-year,Private not-for-profit,Other health professions schools
418870,2-year,Private for-profit,Associates--Private For-profit
418889,2-year,Private for-profit,Associates--Private For-profit
419457,4-year,Private for-profit,Other health professions schools
419509,4-year,Private for-profit,Masters Colleges and Universities--larger programs
420006,4-year,Private for-profit,Baccalaureate/Associates Colleges
420024,2-year,Private for-profit,Associates--Private For-profit
420042,4-year,Private for-profit,Masters Colleges and Universities--medium programs
420103,2-year,Private for-profit,Associates--Private For-profit
420307,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
420316,4-year,Private for-profit,Baccalaureate/Associates Colleges
420398,2-year,Public,Associates--Public Urban-serving Multicampus
420404,2-year,Private for-profit,Associates--Private For-profit
420431,2-year,Public,Associates--Public Rural-serving Small
420440,2-year,Public,Associates--Public Rural-serving Small
420495,2-year,Private for-profit,Associates--Private For-profit
420501,2-year,Private for-profit,Associates--Private For-profit
