universityid,level,institution_type,specific_college_type
140696,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
140720,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
140818,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
140872,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
140942,2-year,Public,Associates--Public Rural-serving Medium
140951,4-year,Private not-for-profit,Schools of art- music- and design
140960,4-year,Public,Baccalaureate Colleges--Arts & Sciences
140988,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
141006,2-year,Public,Associates--Public Rural-serving Medium
141060,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
141097,4-year,Public,Masters Colleges and Universities--medium programs
141158,2-year,Public,Associates--Public Rural-serving Small
141167,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
141185,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
141237,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
141255,2-year,Public,Associates--Public Rural-serving Medium
141264,4-year,Public,Masters Colleges and Universities--larger programs
141325,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
141334,4-year,Public,Masters Colleges and Universities--larger programs
141361,4-year,Private not-for-profit,Associates--Private Not-for-profit
141468,2-year,Private for-profit,Associates--Private For-profit
141486,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
141565,4-year,Public,Baccalaureate Colleges--Arts & Sciences
141574,4-year,Public,Research Universities--very high research activity
141644,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
141680,2-year,Public,Associates--Public 2-year colleges under 4-year universities
141796,2-year,Public,Associates--Public 2-year colleges under 4-year universities
141802,2-year,Public,Associates--Public 2-year colleges under 4-year universities
141811,2-year,Public,Associates--Public 2-year colleges under 4-year universities
141839,4-year,Public,Associates--Public 4-year Primarily Associates
141981,4-year,Public,Baccalaureate Colleges--Diverse Fields
141990,2-year,Public,Associates--Public 2-year colleges under 4-year universities
142054,2-year,Private for-profit,Associates--Private For-profit
142090,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
142115,4-year,Public,Masters Colleges and Universities--larger programs
142179,2-year,Public,Associates--Public Rural-serving Small
142276,4-year,Public,Research Universities--high research activity
142285,4-year,Public,Research Universities--high research activity
142294,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
142328,4-year,Public,Baccalaureate Colleges--Diverse Fields
142337,4-year,Private for-profit,Other technology-related schools
142443,2-year,Public,Associates--Public Rural-serving Medium
142461,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
142522,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
142559,2-year,Public,Associates--Public Rural-serving Large
142887,4-year,Private for-profit,Schools of art- music- and design
143048,4-year,Private not-for-profit,Schools of art- music- and design
143084,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
143118,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
143215,2-year,Public,Associates--Public Suburban-serving Multicampus
143279,2-year,Public,Associates--Public Rural-serving Large
143288,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
143358,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
143613,2-year,Public,Associates--Public Rural-serving Medium
144005,4-year,Public,Masters Colleges and Universities--larger programs
144050,4-year,Private not-for-profit,Research Universities--very high research activity
144157,2-year,Public,Associates--Public Urban-serving Multicampus
144166,2-year,Public,Associates--Public Urban-serving Multicampus
144175,2-year,Public,Associates--Public Urban-serving Multicampus
144184,2-year,Public,Associates--Public Urban-serving Multicampus
144193,2-year,Public,Associates--Public Urban-serving Multicampus
144209,2-year,Public,Associates--Public Urban-serving Multicampus
144218,2-year,Public,Associates--Public Urban-serving Multicampus
144281,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
144351,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
144467,2-year,Private for-profit,Associates--Private For-profit
144485,2-year,Private for-profit,Associates--Private For-profit
144564,2-year,Public,Associates--Public Rural-serving Large
144740,4-year,Private not-for-profit,Doctoral/Research Universities
144865,2-year,Public,Associates--Public Suburban-serving Single Campus
144883,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
144892,4-year,Public,Masters Colleges and Universities--larger programs
144944,2-year,Public,Associates--Public Suburban-serving Multicampus
144962,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
144971,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
145239,2-year,Private for-profit,Associates--Private For-profit
145372,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
145460,4-year,Private for-profit,Schools of art- music- and design
145497,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
145521,2-year,Public,Associates--Public Rural-serving Medium
145600,4-year,Public,Research Universities--very high research activity
145619,4-year,Private not-for-profit,Doctoral/Research Universities
145637,4-year,Public,Research Universities--very high research activity
145646,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
145682,2-year,Public,Associates--Public Rural-serving Large
145691,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
145707,2-year,Public,Associates--Public Rural-serving Medium
145725,4-year,Private not-for-profit,Research Universities--high research activity
145770,4-year,Private for-profit,Doctoral/Research Universities
145813,4-year,Public,Doctoral/Research Universities
145831,2-year,Public,Associates--Public Rural-serving Large
146010,4-year,Private for-profit,Schools of art- music- and design
146205,2-year,Public,Associates--Public Rural-serving Large
146278,2-year,Public,Associates--Public Rural-serving Medium
146296,2-year,Public,Associates--Public Suburban-serving Single Campus
146339,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
146348,2-year,Public,Associates--Public Rural-serving Large
146366,2-year,Public,Associates--Public Rural-serving Large
146393,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
146418,2-year,Public,Associates--Public Suburban-serving Single Campus
146427,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
146472,2-year,Public,Associates--Public Suburban-serving Multicampus
146481,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
146506,2-year,Public,Associates--Public Rural-serving Large
146603,2-year,Public,Associates--Public Suburban-serving Single Campus
146612,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
146667,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
146676,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
146685,2-year,Public,Associates--Public Rural-serving Large
146700,2-year,Private for-profit,Associates--Private For-profit
146719,4-year,Private not-for-profit,Research Universities--high research activity
146755,4-year,Private not-for-profit,Other health professions schools
146816,2-year,Private not-for-profit,Associates--Private Not-for-profit
146825,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
147004,2-year,Public,Associates--Public Suburban-serving Single Campus
147013,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
147129,4-year,Private not-for-profit,Other health professions schools
147165,4-year,Private for-profit,Baccalaureate/Associates Colleges
147244,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
147341,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
147369,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
147378,2-year,Public,Associates--Public Suburban-serving Single Campus
147396,2-year,Private not-for-profit,Associates--Private Not-for-profit
147411,2-year,Public,Associates--Public Suburban-serving Single Campus
147536,4-year,Private not-for-profit,Doctoral/Research Universities
147660,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
147679,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
147703,4-year,Public,Research Universities--high research activity
147749,2-year,Private for-profit,Associates--Private For-profit
147767,4-year,Private not-for-profit,Research Universities--very high research activity
147776,4-year,Public,Masters Colleges and Universities--larger programs
147800,2-year,Public,Associates--Public Suburban-serving Multicampus
147828,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
147916,2-year,Public,Associates--Public Rural-serving Large
148007,2-year,Public,Associates--Public Suburban-serving Single Campus
148131,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
148140,2-year,Private for-profit,Associates--Private For-profit
148177,4-year,Private for-profit,Schools of art- music- and design
148256,2-year,Public,Associates--Public Rural-serving Large
148292,2-year,Public,Associates--Public Rural-serving Medium
148335,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
148380,2-year,Public,Associates--Public Rural-serving Large
148399,2-year,Private for-profit,Associates--Private For-profit
148405,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
148487,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
148496,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
148584,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
148627,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
148654,4-year,Public,Masters Colleges and Universities--larger programs
148672,2-year,Public,Associates--Public Rural-serving Medium
148821,2-year,Public,Associates--Public Rural-serving Large
148849,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
148876,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates
148937,2-year,Public,Associates--Public Rural-serving Large
148991,2-year,Public,Associates--Public Rural-serving Medium
149222,4-year,Public,Research Universities--high research activity
149231,4-year,Public,Masters Colleges and Universities--larger programs
149310,2-year,Private for-profit,Associates--Private For-profit
149365,2-year,Public,Associates--Public Suburban-serving Single Campus
149505,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
149514,4-year,Private not-for-profit,Doctoral/Research Universities
149532,2-year,Public,Associates--Public Suburban-serving Single Campus
149639,4-year,Private not-for-profit,Schools of art- music- and design
149727,2-year,Public,Associates--Public Suburban-serving Single Campus
149772,4-year,Public,Masters Colleges and Universities--larger programs
149781,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
149842,2-year,Public,Associates--Public Suburban-serving Single Campus
150048,2-year,Private not-for-profit,Associates--Private Not-for-profit
150066,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
150136,4-year,Public,Research Universities--high research activity
150145,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
150163,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
150172,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
150251,2-year,Private for-profit,Associates--Private For-profit
150400,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
150455,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
150534,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
150604,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
150668,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
150677,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
150756,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
150774,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
150941,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
150987,2-year,Public,Associates--Public Urban-serving Single Campus
151102,4-year,Public,Masters Colleges and Universities--larger programs
151111,4-year,Public,Research Universities--high research activity
151166,4-year,Private for-profit,Baccalaureate/Associates Colleges
151263,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
151290,4-year,Private not-for-profit,Schools of business and management
151306,4-year,Public,Masters Colleges and Universities--larger programs
151324,4-year,Public,Doctoral/Research Universities
151333,4-year,Public,Baccalaureate Colleges--Diverse Fields
151342,4-year,Public,Masters Colleges and Universities--medium programs
151351,4-year,Public,Research Universities--very high research activity
151360,4-year,Public,Masters Colleges and Universities--medium programs
151379,4-year,Public,Masters Colleges and Universities--larger programs
151388,4-year,Public,Baccalaureate Colleges--Diverse Fields
151458,4-year,Private for-profit,Baccalaureate/Associates Colleges
151467,2-year,Private for-profit,Associates--Private For-profit
151494,4-year,Private for-profit,Other technology-related schools
151500,4-year,Private for-profit,Other technology-related schools
151519,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
151616,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
151625,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
151661,2-year,Private for-profit,Associates--Private For-profit
151777,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
151786,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
151801,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
151810,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
151944,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
152080,4-year,Private not-for-profit,Research Universities--very high research activity
152099,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
152248,4-year,Public,Masters Colleges and Universities--larger programs
152266,4-year,Public,Baccalaureate Colleges--Diverse Fields
152318,4-year,Private not-for-profit,Schools of engineering
152336,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
152363,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
152381,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
152390,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
152415,2-year,Private for-profit,Associates--Private For-profit
152530,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
152567,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
152600,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
152637,4-year,Public,Associates--Public 4-year Primarily Associates
152673,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
152798,4-year,Private not-for-profit,Other health professions schools
152822,4-year,Private not-for-profit,Schools of business and management
152992,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153001,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153108,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
153126,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153144,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
153162,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
153214,2-year,Public,Associates--Public Rural-serving Large
153241,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
153250,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153269,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
153278,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
153296,2-year,Public,Associates--Public Rural-serving Small
153302,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
153311,2-year,Public,Associates--Public Suburban-serving Multicampus
153320,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
153366,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
153375,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153384,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
153409,4-year,Private for-profit,Baccalaureate/Associates Colleges
153418,4-year,Private for-profit,Baccalaureate/Associates Colleges
153427,4-year,Private for-profit,Other technology-related schools
153445,2-year,Public,Associates--Public Rural-serving Large
153472,2-year,Public,Associates--Public Rural-serving Medium
153524,2-year,Public,Associates--Public Rural-serving Medium
153533,2-year,Public,Associates--Public Rural-serving Medium
153603,4-year,Public,Research Universities--very high research activity
153621,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153630,2-year,Public,Associates--Public Suburban-serving Multicampus
153658,4-year,Public,Research Universities--very high research activity
153737,2-year,Public,Associates--Public Rural-serving Large
153825,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
153834,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
153861,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
153922,2-year,Public,Associates--Public Rural-serving Small
153977,4-year,Private not-for-profit,Other health professions schools
154004,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154013,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154022,4-year,Private for-profit,Masters Colleges and Universities--larger programs
154059,2-year,Public,Associates--Public Rural-serving Medium
154095,4-year,Public,Masters Colleges and Universities--larger programs
154101,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154110,2-year,Public,Associates--Public Rural-serving Medium
154129,2-year,Public,Associates--Public Rural-serving Small
154235,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
154262,4-year,Private not-for-profit,Associates--Private Not-for-profit
154350,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
154378,2-year,Public,Associates--Public Rural-serving Medium
154396,2-year,Public,Associates--Public Rural-serving Small
154493,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
154518,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
154527,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
154572,2-year,Public,Associates--Public Rural-serving Large
154590,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154642,2-year,Public,Associates--Public Rural-serving Medium
154688,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
154697,2-year,Public,Associates--Public Rural-serving Large
154712,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154721,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154749,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154767,4-year,Private for-profit,Associates--Private For-profit
154776,4-year,Private for-profit,Associates--Private For-profit
154794,2-year,Private for-profit,Associates--Private For-profit
154800,2-year,Public,Associates--Public Suburban-serving Multicampus
154855,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
154907,2-year,Public,Associates--Public Rural-serving Medium
154925,2-year,Public,Associates--Public Rural-serving Small
154934,2-year,Public,Associates--Public Rural-serving Medium
154952,2-year,Public,Associates--Public Rural-serving Medium
154998,2-year,Public,Associates--Public Rural-serving Medium
155007,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
155025,4-year,Public,Masters Colleges and Universities--larger programs
155052,2-year,Public,Associates--Public Rural-serving Small
155061,4-year,Public,Masters Colleges and Universities--larger programs
155070,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
155089,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
155098,2-year,Public,Associates--Public Rural-serving Medium
155104,2-year,Public,Associates--Public Rural-serving Medium
155140,4-year,Public,Tribal Colleges
155177,2-year,Private not-for-profit,Associates--Private Not-for-profit
155186,2-year,Public,Associates--Public Rural-serving Medium
155195,2-year,Public,Associates--Public Rural-serving Large
155201,2-year,Public,Associates--Public Rural-serving Small
155210,2-year,Public,Associates--Public Suburban-serving Single Campus
155283,4-year,Private for-profit,Associates--Private For-profit
155292,2-year,Public,Associates--Public Urban-serving Single Campus
155317,4-year,Public,Research Universities--very high research activity
155335,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
155399,4-year,Public,Research Universities--high research activity
155414,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
155450,2-year,Public,Associates--Public Rural-serving Medium
155487,2-year,Public,Associates--Public Rural-serving Small
155496,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
155511,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
155520,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
155566,2-year,Public,Associates--Public Rural-serving Medium
155593,2-year,Public,Associates--Public Rural-serving Small
155618,2-year,Public,Associates--Public Rural-serving Small
155627,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
155681,4-year,Public,Masters Colleges and Universities--larger programs
155715,2-year,Public,Associates--Public Rural-serving Small
155812,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
155830,2-year,Public,Associates--Public Rural-serving Small
155858,2-year,Public,Associates--Public Rural-serving Small
155900,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
155937,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
155973,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
156082,4-year,Public,Masters Colleges and Universities--medium programs
156107,2-year,Public,Associates--Public Urban-serving Multicampus
156125,4-year,Public,Research Universities--high research activity
156189,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
156213,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
156231,2-year,Public,Associates--Public Rural-serving Medium
156286,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
156295,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
156338,2-year,Public,Associates--Public Rural-serving Medium
156356,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
156365,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
156392,2-year,Public,Associates--Public Rural-serving Large
156408,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
156417,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
156471,2-year,Private for-profit,Associates--Private For-profit
156541,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
156620,4-year,Public,Masters Colleges and Universities--larger programs
156648,2-year,Public,Associates--Public Rural-serving Medium
156745,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
156790,2-year,Public,Associates--Public Rural-serving Medium
156851,2-year,Public,Associates--Public Rural-serving Medium
156860,2-year,Public,Associates--Public Rural-serving Medium
156903,4-year,Private for-profit,Associates--Private For-profit
156921,2-year,Public,Associates--Public Urban-serving Multicampus
157021,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
157058,4-year,Public,Baccalaureate Colleges--Arts & Sciences
157076,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
157085,4-year,Public,Research Universities--very high research activity
157100,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
157216,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
157270,4-year,Private for-profit,Schools of art- music- and design
157289,4-year,Public,Research Universities--very high research activity
157304,2-year,Public,Associates--Public Rural-serving Medium
157331,2-year,Public,Associates--Public Rural-serving Medium
157359,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
157377,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
157386,4-year,Public,Masters Colleges and Universities--larger programs
157401,4-year,Public,Masters Colleges and Universities--larger programs
157438,2-year,Public,Associates--Public Suburban-serving Multicampus
157447,4-year,Public,Masters Colleges and Universities--larger programs
157465,4-year,Private for-profit,Associates--Private For-profit
157483,2-year,Public,Associates--Public Rural-serving Large
157535,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
157553,2-year,Public,Associates--Public Rural-serving Medium
157599,4-year,Private for-profit,Associates--Private For-profit
157632,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
157696,4-year,Private for-profit,Associates--Private For-profit
157711,2-year,Public,Associates--Public Rural-serving Large
157739,2-year,Public,Associates--Public Rural-serving Medium
157757,4-year,Private not-for-profit,Doctoral/Research Universities
157766,2-year,Private for-profit,Associates--Private For-profit
157793,4-year,Private for-profit,Masters Colleges and Universities--medium programs
157809,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
157818,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
157863,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
157951,4-year,Public,Masters Colleges and Universities--larger programs
158088,2-year,Public,Associates--Public Rural-serving Small
158352,2-year,Public,Associates--Public Urban-serving Multicampus
158431,2-year,Public,Associates--Public Rural-serving Medium
158440,2-year,Private for-profit,Associates--Private For-profit
158477,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
158662,2-year,Public,Associates--Public Urban-serving Multicampus
158723,2-year,Private for-profit,Associates--Private For-profit
158802,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
158884,2-year,Public,Associates--Public Suburban-serving Single Campus
159009,4-year,Public,Masters Colleges and Universities--medium programs
159197,2-year,Private for-profit,Associates--Private For-profit
159382,4-year,Public,Baccalaureate Colleges--Arts & Sciences
159391,4-year,Public,Research Universities--very high research activity
159407,2-year,Public,Associates--Public 2-year colleges under 4-year universities
159416,4-year,Public,Masters Colleges and Universities--medium programs
159443,2-year,Public,Associates--Public Rural-serving Small
159568,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
159647,4-year,Public,Research Universities--high research activity
159656,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
159717,4-year,Public,Masters Colleges and Universities--larger programs
159939,4-year,Public,Research Universities--high research activity
159966,4-year,Public,Masters Colleges and Universities--medium programs
159993,4-year,Public,Masters Colleges and Universities--larger programs
160010,2-year,Public,Associates--Public Rural-serving Small
160038,4-year,Public,Masters Colleges and Universities--larger programs
160065,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
160074,4-year,Private not-for-profit,Other health professions schools
160409,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
160481,2-year,Public,Associates--Public Urban-serving Multicampus
160524,2-year,Private not-for-profit,Associates--Private For-profit
160579,2-year,Public,Associates--Public Rural-serving Small
160612,4-year,Public,Masters Colleges and Universities--larger programs
160621,4-year,Public,Masters Colleges and Universities--larger programs
160630,4-year,Public,Masters Colleges and Universities--medium programs
160649,2-year,Public,Associates--Public 2-year colleges under 4-year universities
160658,4-year,Public,Research Universities--high research activity
160667,2-year,Public,Associates--Public Urban-serving Multicampus
160755,4-year,Private not-for-profit,Research Universities--very high research activity
160904,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
160913,2-year,Public,Associates--Public Suburban-serving Multicampus
160940,4-year,Private for-profit,Associates--Private For-profit
160959,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
160977,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
160995,2-year,Private for-profit,Associates--Private For-profit
161004,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
161022,2-year,Private not-for-profit,Associates--Private Not-for-profit
161077,2-year,Public,Associates--Public Rural-serving Medium
161086,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
161138,2-year,Public,Associates--Public Rural-serving Medium
161165,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
161192,2-year,Public,Associates--Public Rural-serving Medium
161217,4-year,Public,Baccalaureate/Associates Colleges
161226,4-year,Public,Baccalaureate Colleges--Diverse Fields
161235,4-year,Public,Baccalaureate Colleges--Diverse Fields
161244,4-year,Public,Baccalaureate Colleges--Arts & Sciences
161253,4-year,Public,Research Universities--high research activity
161299,4-year,Public,Baccalaureate Colleges--Diverse Fields
161341,4-year,Public,Baccalaureate Colleges--Diverse Fields
161457,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
161484,2-year,Public,Associates--Public Rural-serving Small
161509,4-year,Private not-for-profit,Schools of art- music- and design
161518,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
161545,2-year,Public,Associates--Public Rural-serving Medium
161554,4-year,Public,Masters Colleges and Universities--larger programs
161563,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
161572,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
161581,2-year,Public,Associates--Public Rural-serving Small
161688,2-year,Public,Associates--Public Rural-serving Medium
161767,2-year,Public,Associates--Public Suburban-serving Single Campus
161776,2-year,Private for-profit,Associates--Private For-profit
161864,2-year,Public,Associates--Public Urban-serving Multicampus
161873,4-year,Public,Masters Colleges and Universities--larger programs
162007,4-year,Public,Doctoral/Research Universities
162061,4-year,Private not-for-profit,Schools of engineering
162104,2-year,Public,Associates--Public Suburban-serving Single Campus
162122,2-year,Public,Associates--Public Suburban-serving Multicampus
162168,2-year,Public,Associates--Public Rural-serving Medium
162210,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
162283,4-year,Public,Masters Colleges and Universities--smaller programs
162557,2-year,Public,Associates--Public Suburban-serving Single Campus
162584,4-year,Public,Masters Colleges and Universities--larger programs
162609,2-year,Public,Associates--Public Rural-serving Small
