universityid,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate
121309,558,77,61.7,79,89.3
121345,527,98,92.8,100,97.5
121363,680,90,3.8,14,68.5
121381,533,41,54.4,93,55.2
121619,610,67,5.9,30,66.3
121691,509,73,63.4,80,88.4
121707,714,7,2.4,6,41.4
121886,722,17,3.8,14,74.4
121901,736,37,8.3,44,67.5
122180,602,70,7.4,38,68.8
122205,664,69,15.5,73,73.5
122339,549,71,2.2,5,66.9
122366,611,17,100.0,100,85.1
122375,590,30,3.7,13,66.5
122384,627,50,11.4,59,67.7
122409,679,72,32.7,73,87.8
122436,718,86,64.6,81,90.2
122454,742,52,22.0,16,65.4
122506,672,81,61.9,79,86.5
122597,792,38,12.7,20,82.1
122612,661,78,56.6,72,86.5
122658,799,5,8.4,45,77.1
122685,523,7,30.9,37,60.4
122694,809,91,30.7,37,75.8
122728,550,44,43.9,52,82.2
122746,585,44,9.8,51,61.7
122755,802,51,7.7,8,87.8
122791,620,59,3.5,12,69.2
122834,598,27,60.8,73,69.2
122843,721,75,36.2,80,50.0
122852,513,93,58.9,80,50.0
122889,648,92,14.6,70,60.4
122931,743,91,76.9,91,95.0
122977,571,46,11.9,61,70.4
123013,575,23,12.1,62,73.8
123165,536,95,80.2,93,93.2
123208,796,34,55.2,69,67.6
123217,601,45,8.1,43,66.1
123299,785,0,10.6,55,57.6
123341,767,47,6.8,34,72.2
123457,503,39,38.0,42,81.0
123484,646,60,8.0,42,54.4
123509,528,58,6.0,31,76.7
123527,513,91,3.5,12,70.1
123554,633,69,50.4,63,90.0
123563,626,36,8.2,44,70.2
123572,563,40,25.9,61,84.0
123642,582,59,37.5,48,72.3
123651,679,23,47.1,58,76.1
123679,761,82,64.1,82,65.4
123800,687,46,4.1,16,78.4
123952,815,74,0.0,0,93.8
123961,742,95,78.2,91,96.0
124113,704,45,10.4,54,64.6
124292,795,88,72.7,88,86.9
124487,540,95,0.0,0,14.3
124681,712,29,21.4,23,67.0
124706,717,4,45.8,58,65.0
124937,845,47,26.9,32,74.7
125028,804,13,10.4,54,67.8
125091,740,47,3.1,10,66.2
125170,803,33,9.1,48,61.9
125231,758,16,28.7,29,21.3
125462,533,30,7.9,41,58.3
125471,848,90,4.6,20,70.1
125499,646,85,9.9,51,72.6
125532,791,97,17.1,19,57.3
125727,724,83,71.9,88,84.6
125763,671,45,62.9,80,82.9
125897,575,25,18.9,12,74.6
126076,834,90,16.7,9,43.8
126119,780,9,6.6,33,61.8
126182,569,16,11.5,18,55.9
126207,551,27,25.5,90,54.2
126289,589,25,9.7,51,54.7
126359,754,42,28.4,34,63.9
126401,824,40,45.5,57,70.6
126562,849,68,16.1,33,75.2
126580,586,64,26.5,61,71.4
126605,554,4,8.9,10,57.1
126614,592,90,44.3,87,84.6
126669,674,20,23.7,18,69.1
126678,660,92,79.2,92,96.1
