universityid,state
157465,Kentucky
157483,Kentucky
157535,Kentucky
157553,Kentucky
157599,Kentucky
157632,Kentucky
157696,Kentucky
157711,Kentucky
157739,Kentucky
157757,Kentucky
157766,Kentucky
157793,Kentucky
157809,Kentucky
157818,Kentucky
157863,Kentucky
157951,Kentucky
158088,Louisiana
158352,Louisiana
158431,Louisiana
158440,Louisiana
158477,Louisiana
158662,Louisiana
158723,Louisiana
158802,Louisiana
158884,Louisiana
159009,Louisiana
159197,Louisiana
159382,Louisiana
159391,Louisiana
159407,Louisiana
159416,Louisiana
159443,Louisiana
159568,Louisiana
159647,Louisiana
159656,Louisiana
159717,Louisiana
159939,Louisiana
159966,Louisiana
159993,Louisiana
160010,Louisiana
160038,Louisiana
160065,Louisiana
160074,Louisiana
160409,Louisiana
160481,Louisiana
160524,Louisiana
160579,Louisiana
160612,Louisiana
160621,Louisiana
160630,Louisiana
160649,Louisiana
160658,Louisiana
160667,Louisiana
160755,Louisiana
160904,Louisiana
160913,Louisiana
160940,Maine
160959,Maine
160977,Maine
160995,Maine
161004,Maine
161022,Maine
161077,Maine
161086,Maine
161138,Maine
161165,Maine
161192,Maine
161217,Maine
161226,Maine
161235,Maine
161244,Maine
161253,Maine
161299,Maine
161341,Maine
161457,Maine
161484,Maine
161509,Maine
161518,Maine
161545,Maine
161554,Maine
161563,Maine
161572,Maine
161581,Maine
161688,Maryland
161767,Maryland
161776,Maryland
161864,Maryland
161873,Maryland
162007,Maryland
162061,Maryland
162104,Maryland
162122,Maryland
162168,Maryland
162210,Maryland
162283,Maryland
162557,Maryland
162584,Maryland
162609,Maryland
162654,Maryland
162681,Maryland
162690,Maryland
162706,Maryland
162760,Maryland
162779,Maryland
162928,Maryland
163028,Maryland
163046,Maryland
163204,Maryland
163268,Maryland
163286,Maryland
163295,Maryland
163338,Maryland
163426,Maryland
163453,Maryland
163462,Maryland
163532,Maryland
163578,Maryland
163657,Maryland
163736,Maryland
163851,Maryland
163912,Maryland
163921,Maryland
163976,Maryland
164058,Maryland
164076,Maryland
164173,Maryland
164216,Maryland
164270,Maryland
164313,Maryland
164447,Massachusetts
164465,Massachusetts
164492,Massachusetts
164562,Massachusetts
164580,Massachusetts
164614,Massachusetts
164632,Massachusetts
164641,Massachusetts
164720,Massachusetts
164739,Massachusetts
164748,Massachusetts
164775,Massachusetts
164872,Massachusetts
164924,Massachusetts
164933,Massachusetts
164988,Massachusetts
165015,Massachusetts
165024,Massachusetts
165033,Massachusetts
165112,Massachusetts
165167,Massachusetts
165194,Massachusetts
165264,Massachusetts
165334,Massachusetts
165529,Massachusetts
165574,Massachusetts
165644,Massachusetts
165662,Massachusetts
165671,Massachusetts
165699,Massachusetts
165802,Massachusetts
165820,Massachusetts
165866,Massachusetts
165884,Massachusetts
165936,Massachusetts
165981,Massachusetts
166018,Massachusetts
166027,Massachusetts
166124,Massachusetts
166133,Massachusetts
166391,Massachusetts
166407,Massachusetts
166452,Massachusetts
166513,Massachusetts
166601,Massachusetts
166629,Massachusetts
166638,Massachusetts
166647,Massachusetts
166656,Massachusetts
166674,Massachusetts
166683,Massachusetts
166692,Massachusetts
166823,Massachusetts
166850,Massachusetts
166887,Massachusetts
166911,Massachusetts
166939,Massachusetts
166948,Massachusetts
166957,Massachusetts
166984,Massachusetts
167057,Massachusetts
167251,Massachusetts
167260,Massachusetts
167288,Massachusetts
167312,Massachusetts
167321,Massachusetts
167358,Massachusetts
167376,Massachusetts
167394,Massachusetts
167455,Massachusetts
167525,Massachusetts
167534,Massachusetts
167598,Massachusetts
167631,Massachusetts
167729,Massachusetts
167738,Massachusetts
167783,Massachusetts
167792,Massachusetts
167835,Massachusetts
167899,Massachusetts
167905,Massachusetts
167987,Massachusetts
167996,Massachusetts
168005,Massachusetts
168148,Massachusetts
168218,Massachusetts
168227,Massachusetts
168254,Massachusetts
168263,Massachusetts
168281,Massachusetts
168290,Massachusetts
168342,Massachusetts
168421,Massachusetts
168430,Massachusetts
168528,Michigan
168546,Michigan
168591,Michigan
168607,Michigan
168740,Michigan
168786,Michigan
168838,Michigan
168847,Michigan
168883,Michigan
169080,Michigan
169248,Michigan
169275,Michigan
169327,Michigan
169363,Michigan
169442,Michigan
169479,Michigan
169521,Michigan
169716,Michigan
169798,Michigan
169910,Michigan
169974,Michigan
169983,Michigan
169992,Michigan
170000,Michigan
170037,Michigan
170055,Michigan
170082,Michigan
170091,Michigan
170240,Michigan
170301,Michigan
170417,Michigan
170444,Michigan
170532,Michigan
170541,Michigan
170550,Michigan
170587,Michigan
170620,Michigan
170639,Michigan
170657,Michigan
170675,Michigan
170790,Michigan
170806,Michigan
170842,Michigan
170967,Michigan
170976,Michigan
171100,Michigan
171128,Michigan
171137,Michigan
171146,Michigan
171155,Michigan
171225,Michigan
171234,Michigan
171298,Michigan
171304,Michigan
171395,Michigan
171456,Michigan
171483,Michigan
171492,Michigan
171535,Michigan
171571,Michigan
171599,Michigan
171881,Michigan
172033,Michigan
172051,Michigan
172200,Michigan
172264,Michigan
172291,Michigan
172307,Michigan
172334,Michigan
172440,Michigan
172617,Michigan
172635,Michigan
172644,Michigan
172671,Michigan
172699,Michigan
172866,Minnesota
172918,Minnesota
172954,Minnesota
172963,Minnesota
173045,Minnesota
173063,Minnesota
173115,Minnesota
173124,Minnesota
173142,Minnesota
173160,Minnesota
173203,Minnesota
173258,Minnesota
173300,Minnesota
173328,Minnesota
173416,Minnesota
173452,Minnesota
173461,Minnesota
173489,Minnesota
173559,Minnesota
173629,Minnesota
173638,Minnesota
173647,Minnesota
173665,Minnesota
173708,Minnesota
173735,Minnesota
173799,Minnesota
173805,Minnesota
173887,Minnesota
173902,Minnesota
173911,Minnesota
173920,Minnesota
173984,Minnesota
173993,Minnesota
174020,Minnesota
174066,Minnesota
174075,Minnesota
174118,Minnesota
174127,Minnesota
174136,Minnesota
174154,Minnesota
174206,Minnesota
174233,Minnesota
174251,Minnesota
174279,Minnesota
174358,Minnesota
174376,Minnesota
174385,Minnesota
174394,Minnesota
174428,Minnesota
174437,Minnesota
174473,Minnesota
174491,Minnesota
174507,Minnesota
174525,Minnesota
174570,Minnesota
174604,Minnesota
174738,Minnesota
174747,Minnesota
174756,Minnesota
174783,Minnesota
174792,Minnesota
174817,Minnesota
174844,Minnesota
174862,Minnesota
174899,Minnesota
174914,Minnesota
175005,Minnesota
175014,Minnesota
175041,Minnesota
175078,Minnesota
175157,Minnesota
175227,Minnesota
175236,Minnesota
175263,Minnesota
175272,Minnesota
175315,Minnesota
175342,Mississippi
175421,Mississippi
175430,Mississippi
175519,Mississippi
175528,Mississippi
175573,Mississippi
175616,Mississippi
175643,Mississippi
175652,Mississippi
175786,Mississippi
175810,Mississippi
175829,Mississippi
175856,Mississippi
175883,Mississippi
175935,Mississippi
175980,Mississippi
176008,Mississippi
176017,Mississippi
176035,Mississippi
176044,Mississippi
176053,Mississippi
176071,Mississippi
176080,Mississippi
176169,Mississippi
176178,Mississippi
176239,Mississippi
176318,Mississippi
176354,Mississippi
176372,Mississippi
176406,Mississippi
176479,Mississippi
176549,Missouri
176628,Missouri
176637,Missouri
176664,Missouri
176770,Missouri
176789,Missouri
176910,Missouri
176947,Missouri
176965,Missouri
177038,Kansas
177065,Missouri
177083,Missouri
177117,Missouri
177135,Missouri
177144,Missouri
177214,Missouri
177250,Missouri
177302,Missouri
177339,Missouri
177418,Missouri
177472,Missouri
177542,Missouri
177551,Missouri
177579,Missouri
177676,Missouri
177746,Missouri
177940,Missouri
177968,Missouri
177977,Missouri
177995,Missouri
178059,Missouri
178110,Missouri
178183,Missouri
178208,Missouri
178217,Missouri
178226,Illinois
178244,Missouri
178305,Missouri
178341,Missouri
178350,Missouri
178369,Missouri
178387,Missouri
178396,Missouri
178402,Missouri
178411,Missouri
178420,Missouri
178448,Missouri
178615,Missouri
178624,Missouri
178679,Missouri
178697,Missouri
178721,Missouri
178767,Missouri
178891,Missouri
179043,Missouri
179070,Missouri
179159,Missouri
179256,Missouri
179308,Missouri
179326,Missouri
179344,Missouri
179511,Missouri
179539,Missouri
179548,Missouri
179557,Missouri
179566,Missouri
179645,Missouri
179715,Missouri
179867,Missouri
179894,Missouri
179919,Missouri
179946,Missouri
179955,Missouri
179964,Missouri
180054,Montana
180081,Montana
180106,Montana
180151,Montana
180160,Montana
180179,Montana
180197,Montana
180203,Montana
180212,Montana
180249,Montana
180258,Montana
180276,Montana
180328,Montana
180373,Montana
180416,Montana
180461,Montana
180489,Montana
180522,Montana
180595,Montana
180647,Montana
180692,Montana
180814,Nebraska
180832,Nebraska
180878,Nebraska
180902,Nebraska
180948,Nebraska
180984,Nebraska
181002,Nebraska
181020,Nebraska
181093,Nebraska
181127,Nebraska
181215,Nebraska
181242,Nebraska
181297,Nebraska
181303,Nebraska
181312,Nebraska
181330,Nebraska
181376,Nebraska
181394,Nebraska
181400,Nebraska
181419,Nebraska
181446,Nebraska
181464,Nebraska
181491,Nebraska
181534,Nebraska
181604,Nebraska
181640,Nebraska
181738,Nebraska
181756,Nebraska
181765,Nebraska
181783,Nebraska
181817,Nebraska
181853,Nebraska
181941,Nevada
182005,Nevada
182111,Nevada
182148,Nevada
182281,Nevada
182290,Nevada
182306,Nevada
182430,Nevada
182458,Nevada
182500,Nevada
182564,Nevada
182634,New Hampshire
182661,New Hampshire
182670,New Hampshire
182795,New Hampshire
182865,New Hampshire
182908,New Hampshire
182980,New Hampshire
183026,New Hampshire
183044,New Hampshire
183062,New Hampshire
183071,New Hampshire
183080,New Hampshire
183099,New Hampshire
183105,New Hampshire
183114,New Hampshire
183123,New Hampshire
183132,New Hampshire
183141,New Hampshire
183150,New Hampshire
183211,New Hampshire
183239,New Hampshire
183248,New Hampshire
183257,New Hampshire
183655,New Jersey
183743,New Jersey
183789,New Jersey
183822,New Jersey
183859,New Jersey
183877,New Jersey
183910,New Jersey
183938,New Jersey
183974,New Jersey
184180,New Jersey
184205,New Jersey
184348,New Jersey
184481,New Jersey
184603,New Jersey
184612,New Jersey
184694,New Jersey
184773,New Jersey
184782,New Jersey
184791,New Jersey
184959,New Jersey
184995,New Jersey
185129,New Jersey
185262,New Jersey
185509,New Jersey
185536,New Jersey
185572,New Jersey
185590,New Jersey
185828,New Jersey
185873,New Jersey
186034,New Jersey
186131,New Jersey
186186,New Jersey
186201,New Jersey
186283,New Jersey
186371,New Jersey
186380,New Jersey
186399,New Jersey
186432,New Jersey
186469,New Jersey
186584,New Jersey
186618,New Jersey
186645,New Jersey
186867,New Jersey
186876,New Jersey
187134,New Jersey
187198,New Jersey
187444,New Jersey
187532,New Mexico
187596,New Mexico
187620,New Mexico
187639,New Mexico
187648,New Mexico
187666,New Mexico
187745,New Mexico
187897,New Mexico
187903,New Mexico
187912,New Mexico
187958,New Mexico
187967,New Mexico
187976,New Mexico
187985,New Mexico
187994,New Mexico
188003,New Mexico
188021,New Mexico
188030,New Mexico
188049,New Mexico
188058,New Mexico
188100,New Mexico
188137,New Mexico
188146,New Mexico
188182,New Mexico
188216,New Mexico
188225,New Mexico
188261,New Mexico
188304,New Mexico
188340,New York
188429,New York
188438,New York
188465,New York
188517,New York
188526,New York
188641,New York
188678,New York
188687,New York
188854,New York
189088,New York
189097,New York
189228,New York
189282,New York
189413,New York
189422,New York
189459,New York
189547,New York
189556,New York
189565,New York
189574,New York
189583,New York
189592,New York
189653,New York
189705,New York
189811,New York
189839,New York
189848,New York
189857,New York
190044,New York
190053,New York
190099,New York
190114,New York
190150,New York
190169,New York
190248,New York
190372,New York
190415,New York
190442,New York
190451,New York
190503,New York
190512,New York
190521,New York
190530,New York
190549,New York
190558,New York
190567,New York
190585,New York
190594,New York
190600,New York
190619,New York
190628,New York
190637,New York
190646,New York
190655,New York
190664,New York
190673,New York
190691,New York
190716,New York
190725,New York
190761,New York
190770,New York
190840,New York
190956,New York
190974,New York
190983,New York
191083,New York
191126,New York
191199,New York
191205,New York
191241,New York
191302,New York
191339,New York
191515,New York
191533,New York
191597,New York
191612,New York
191621,New York
191630,New York
191649,New York
191676,New York
191719,New York
191764,New York
191931,New York
191959,New York
191968,New York
191986,New York
192004,New York
192022,New York
192040,New York
192110,New York
192156,New York
192165,New York
192192,New York
192271,New York
192323,New York
192439,New York
192448,New York
192509,New York
192624,New York
192688,New York
192703,New York
192712,New York
192749,New York
192785,New York
192819,New York
192864,New York
192925,New York
192961,New York
193016,New York
193052,New York
193201,New York
193247,New York
193283,New York
193292,New York
193308,New York
193326,New York
193353,New York
193399,New York
193478,New York
193584,New York
193645,New York
193654,New York
193900,New York
193946,New York
193973,New York
194028,New York
194091,New York
194116,New York
194161,New York
194222,New York
194240,New York
194310,New York
194392,New York
194499,New York
194541,New York
194569,New York
194578,New York
194611,New York
194657,New York
194666,New York
194763,New York
194824,New York
194958,New York
194967,New York
195003,New York
195030,New York
195058,New York
195128,New York
195164,New York
