state_b5,program_type_b5,grad_100,grad_100_rate,state_b1,state_abbrevation_b1,organization_type_b1,level_b1,year_b1,gender_b1,race_b1,state_b2,state_abbrevation_b2,organization_type_b2,level_b2,university_count,counted_pct,awards_per_state_value_b2,state_b3,student count,awards_per_value,awards_per_state_value_b3,fte_value,city,state_b4,level_b4,institution_type,specific_college_type,website,universityid_pub,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate_med,universityid_priv,year,gender_b6,race_b6,program_type_b6,passing_rate_b6
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Female,Hispanic,Arkansas,AR,Public,2-year,22,43.6,23.6,Alabama,347,14.5,17.8,343,Marion,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.judson.edu,101541,1023,37,38,42,59.7,100760,2012,Both Gender,Hispanic,2y all,134
Alabama,4y bach,9,29,Alabama,AL,Private for-profit,4-year,2012,Female,White,Arkansas,AR,Private not-for-profit,2-year,1,0,11.6,Alabama,3028,13.5,15.9,2695,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.lawsonstate.edu,101569,0,0,18.4,81,52.5,100760,2012,Male,Hispanic,2y all,64
Alabama,4y bach,19,21.6,Alabama,AL,Private for-profit,4-year,2012,Female,Unspecified,Arkansas,AR,Private for-profit,2-year,1,100,51.4,Alabama,1999,15.3,18.8,1744,Livingston,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.uwa.edu,101587,950,19,17.9,38,57.8,100760,2012,Female,Hispanic,2y all,239
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Male,Asian,California,CA,Public,4-year,32,58.1,25,Alabama,1570,20.9,15.9,1338,Andalusia,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.lbwcc.edu,101602,0,0,13.2,66,57,100760,2012,Both Gender,American Indian,2y all,239
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Male,American Indian,California,CA,Private not-for-profit,4-year,74,68.5,22.4,Alabama,418,26.1,15.9,422,Marion,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.marionmilitary.edu,101648,1040,100,23.1,88,38.1,100760,2012,Male,American Indian,2y all,393
Alabama,4y bach,6,16.7,Alabama,AL,Private for-profit,4-year,2012,Male,Black,California,CA,Private for-profit,4-year,64,54.5,23.2,Alabama,1666,12,17.8,1681,Fairfield,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.miles.edu,101675,0,0,6,2,54.8,100760,2012,Female,American Indian,2y all,145
Alabama,4y bach,1,100,Alabama,AL,Private for-profit,4-year,2012,Male,Hispanic,California,CA,Public,2-year,113,22.7,12.8,Alabama,1481,21.7,17.8,1341,Mobile,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.umobile.edu,101693,1058,51,32.9,34,77.3,100760,2012,Both Gender,Asian,2y all,222
Alabama,4y bach,21,36.2,Alabama,AL,Private for-profit,4-year,2012,Male,White,California,CA,Private not-for-profit,2-year,4,100,34.1,Alabama,2618,15.9,18.8,2455,Montevallo,Alabama,4-year,Public,Masters Colleges and Universities--medium programs,www.montevallo.edu,101709,1070,65,23.8,55,73.7,100760,2012,Male,Asian,2y all,275
Alabama,4y bach,36,24.5,Alabama,AL,Private for-profit,4-year,2012,Male,Unspecified,California,CA,Private for-profit,2-year,63,46.9,39.3,Alabama,3854,16.3,15.9,2702,Muscle Shoals,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.nwscc.edu,101736,0,0,2.2,5,52.6,100760,2012,Female,Asian,2y all,281
Alabama,4y bach,1,50,Alabama,AL,Private for-profit,4-year,2013,Both Gender,Asian,Colorado,CO,Public,4-year,13,55.4,19.6,Alabama,5881,17.4,18.8,5292,Florence,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.una.edu,101879,1028,50,12.3,20,70.8,100760,2013,Both Gender,Unspecified,2y all,400
